CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Generation,Local_Best_Obj
20200228173906,MDG-a_1_n500_m50,6,757.244s,500,50,1582851652,1600,63,11.23
20200228175145,MDG-a_1_n500_m50,7,755.727s,500,50,1582871079,1600,62,11.38
20200228180422,MDG-a_1_n500_m50,8,755.512s,500,50,1582879489,1600,64,11.15
20200228181659,MDG-a_1_n500_m50,9,755.324s,500,50,1582870827,1600,64,11.35
20200228182936,MDG-a_3_n500_m50,0,760.861s,500,50,1582879857,1600,64,10.94
20200228184219,MDG-a_3_n500_m50,1,750.377s,500,50,1582861170,1600,64,11.02
20200228185451,MDG-a_3_n500_m50,2,761.536s,500,50,1582878161,1600,65,11.37
20200228190734,MDG-a_3_n500_m50,3,759.882s,500,50,1582876876,1600,68,11.59
20200228192015,MDG-a_3_n500_m50,4,753.589s,500,50,1582864688,1600,78,10.96
20200228193250,MDG-a_3_n500_m50,5,753.556s,500,50,1582879626,1600,76,10.72
20200228194526,MDG-a_3_n500_m50,6,756.621s,500,50,1582859384,1600,77,11.46
20200228195804,MDG-a_3_n500_m50,7,754.771s,500,50,1582879714,1600,72,11.24
20200228201040,MDG-a_3_n500_m50,8,20200229074259,MDG-a_1_n500_m50,0,750.219s,500,50,1582912473,1600,104,10.31
20200229075531,MDG-a_1_n500_m50,1,755.221s,500,50,1582902315,1600,105,11.18
20200229080807,MDG-a_1_n500_m50,2,752.325s,500,50,1582909054,1600,105,11.5
20200229082041,MDG-a_1_n500_m50,3,750.69s,500,50,1582909911,1600,106,11.17
20200229083313,MDG-a_1_n500_m50,4,754.865s,500,50,1582919038,1600,107,10.74
20200229084549,MDG-a_1_n500_m50,5,750.534s,500,50,1582919441,1600,106,10.95
20200229085820,MDG-a_1_n500_m50,6,752.791s,500,50,1582908289,1600,108,11.23
20200229091054,MDG-a_1_n500_m50,7,750.604s,500,50,1582938497,1600,106,10.39
20200229092326,MDG-a_1_n500_m50,8,754.757s,500,50,1582919597,1600,101,11
20200229093602,MDG-a_1_n500_m50,9,750.558s,500,50,1582920100,1600,106,10.28
20200229094834,MDG-a_3_n500_m50,0,754.942s,500,50,1582925872,1600,109,11.08
20200229100110,MDG-a_3_n500_m50,1,750.721s,500,50,1582921144,1600,106,10.92
20200229101342,MDG-a_3_n500_m50,2,756.437s,500,50,1582940608,1600,107,10.86
20200229102619,MDG-a_3_n500_m50,3,753.55s,500,50,1582923453,1600,105,10.86
20200229103854,MDG-a_3_n500_m50,4,750.558s,500,50,1582925810,1600,105,10.97
20200229105126,MDG-a_3_n500_m50,5,755.604s,500,50,1582922543,1600,104,11.37
20200229110402,MDG-a_3_n500_m50,6,753.704s,500,50,1582926500,1600,101,11
20200229111637,MDG-a_3_n500_m50,7,757.504s,500,50,1582917059,1600,100,10.88
20200229112916,MDG-a_3_n500_m50,8,752.605s,500,50,1582916409,1600,99,10.42
20200229114150,MDG-a_3_n500_m50,9,753.198s,500,50,1582928294,1600,100,11.34
20200229115425,MDG-a_5_n500_m50,0,755.504s,500,50,1582924431,1600,100,11.38
20200229120701,MDG-a_5_n500_m50,1,753.833s,500,50,1582919971,1600,101,10.61
20200229121937,MDG-a_5_n500_m50,2,752.325s,500,50,1582945640,1600,103,11.2
20200229123210,MDG-a_5_n500_m50,3,752.685s,500,50,1582922838,1600,105,11.58
20200229124444,MDG-a_5_n500_m50,4,754.628s,500,50,1582920619,1600,106,11.05
20200229125720,MDG-a_5_n500_m50,5,750.728s,500,50,1582946101,1600,105,11.04
20200229130952,MDG-a_5_n500_m50,6,756.581s,500,50,1582937478,1600,106,10.9
20200229132230,MDG-a_5_n500_m50,7,756.488s,500,50,1582938101,1600,101,11.09
20200229133507,MDG-a_5_n500_m50,8,752.648s,500,50,1582933419,1600,92,10.86
20200229134741,MDG-a_5_n500_m50,9,754.408s,500,50,1582929163,1600,72,11.26
20200229140018,MDG-a_8_n500_m50,0,754.885s,500,50,1582938591,1600,70,11.27
20200229141254,MDG-a_8_n500_m50,1,751.133s,500,50,1582941082,1600,72,11.48
20200229142527,MDG-a_8_n500_m50,2,757.563s,500,50,1582925012,1600,68,11.41
20200229143806,MDG-a_8_n500_m50,3,760.884s,500,50,1582943851,1600,72,10.94
20200229145048,MDG-a_8_n500_m50,4,750.805s,500,50,1582941413,1600,67,10.67
20200229150321,MDG-a_8_n500_m50,5,753.71s,500,50,1582937023,1600,64,11.56
20200229151557,MDG-a_8_n500_m50,6,759.794s,500,50,1582929903,1600,68,11.13
20200229152839,MDG-a_8_n500_m50,7,758.364s,500,50,1582928630,1600,63,10.31
20200229154118,MDG-a_8_n500_m50,8,1246.57s,500,50,1582935119,1600,63,11
20200229160207,MDG-a_8_n500_m50,9,762.142s,500,50,1582954544,1600,64,11.58
20200229161451,MDG-a_9_n500_m50,0,
