CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj,,,
2.02003E+13,MDG-b_12_n500_m50,9,502.528s,500,50,1583944188,1500,10,54,1147.48,,,
2.02003E+13,MDG-b_13_n500_m50,0,509.666s,500,50,1583932596,1500,10,57,1101.61,,,
2.02003E+13,MDG-b_13_n500_m50,1,508.264s,500,50,1583949620,1500,10,54,1087.39,,,
2.02003E+13,MDG-b_13_n500_m50,2,512.343s,500,50,1583932259,1500,10,56,1027.02,,,
2.02003E+13,MDG-b_13_n500_m50,3,502.547s,500,50,1583928742,1500,10,55,1044.38,,,
2.02003E+13,MDG-b_13_n500_m50,4,501.38s,500,50,1583924296,1500,10,52,1100.51,,,
2.02003E+13,MDG-b_13_n500_m50,5,502.697s,500,50,1583952430,1500,10,55,1086.42,,,
2.02003E+13,MDG-b_13_n500_m50,6,508.3s,500,50,1583931112,1500,10,55,1107.82,,,
2.02003E+13,MDG-b_13_n500_m50,7,509.788s,500,50,1583946570,1500,10,54,1072.37,,,
2.02003E+13,MDG-b_13_n500_m50,8,502.159s,500,50,1583939616,1500,10,56,1087.81,,,
2.02003E+13,MDG-b_13_n500_m50,9,500.372s,500,50,1583957902,1500,10,55,1030.46,,,
2.02003E+13,MDG-b_14_n500_m50,0,505.244s,500,50,1583941255,1500,10,55,1018.63,,,
2.02003E+13,MDG-b_14_n500_m50,1,509.497s,500,50,1583957085,1500,10,54,1125.9,,,
2.02003E+13,MDG-b_14_n500_m50,2,502.981s,500,50,1583940440,1500,10,55,1058.11,,,
2.02003E+13,MDG-b_14_n500_m50,3,507.316s,500,50,1583932672,1500,10,51,1115.03,,,
2.02003E+13,MDG-b_14_n500_m50,4,505.901s,500,50,1583952314,1500,10,53,1119.27,,,
2.02003E+13,MDG-b_14_n500_m50,5,500.295s,500,50,1583946651,1500,10,52,1106.27,,,
2.02003E+13,MDG-b_14_n500_m50,6,506.098s,500,50,1583934385,1500,10,55,1140.94,,,
2.02003E+13,MDG-b_14_n500_m50,7,500.182s,500,50,1583945361,1500,10,54,1075.99,,,
2.02003E+13,MDG-b_14_n500_m50,8,509.453s,500,50,1583946510,1500,10,58,996.85,,,
2.02003E+13,MDG-b_14_n500_m50,9,507.051s,500,50,1583956774,1500,10,54,1129.15,,,
2.02003E+13,MDG-b_15_n500_m50,0,505.966s,500,50,1583958602,1500,10,58,1149.5,,,
2.02003E+13,MDG-b_15_n500_m50,1,505.03s,500,50,1583947800,1500,10,53,1101.39,,,
2.02003E+13,MDG-b_15_n500_m50,2,504.033s,500,50,1583943574,1500,10,54,1132.79,,,
2.02003E+13,MDG-b_15_n500_m50,3,505.987s,500,50,1583954700,1500,10,52,1120.62,,,
2.02003E+13,MDG-b_15_n500_m50,4,501.634s,500,50,1583956633,1500,10,54,1135.32,,,
2.02003E+13,MDG-b_15_n500_m50,5,503.98s,500,50,1583935201,1500,10,56,1093.24,,,
2.02003E+13,MDG-b_15_n500_m50,6,501.242s,500,50,1583961518,1500,10,54,1128.78,,,
2.02003E+13,MDG-b_15_n500_m50,7,504.573s,500,50,1583942964,1500,10,56,1160.29,,,
